Baader SLOAN/SDSS g' Filter,,,,
λ (nm),OD,,,
200,6.248011895,,,
201,6.219064164,,,
202,6.387775853,,,
203,6.503783843,,,
204,6.568941303,,,
205,6.277894980,,,
206,6.386125003,,,
207,6.342179794,,,
208,6.340106630,,,
209,6.348149955,,,
210,6.390756654,,,
211,6.480405278,,,
212,6.450203821,,,
213,6.435525302,,,
214,6.337683362,,,
215,6.420975880,,,
216,6.386213729,,,
217,6.320887215,,,
218,6.428665432,,,
219,6.394962595,,,
220,6.355517120,,,
221,6.443016312,,,
222,6.474282271,,,
223,6.392402579,,,
224,6.412461027,,,
225,6.357675255,,,
226,6.335047695,,,
227,6.351123167,,,
228,6.457870036,,,
229,6.303870904,,,
230,6.328104579,,,
231,6.342754941,,,
232,6.357935767,,,
233,6.385359171,,,
234,6.358917351,,,
235,6.349600144,,,
236,6.315865798,,,
237,6.327771484,,,
238,6.317750887,,,
239,6.303303021,,,
240,6.315867106,,,
241,6.352127878,,,
242,6.288605909,,,
243,6.293180183,,,
244,6.370269516,,,
245,6.320745965,,,
246,6.306826503,,,
247,6.327530260,,,
248,6.336135781,,,
249,6.289179328,,,
250,6.319791718,,,
251,6.338941836,,,
252,6.336956315,,,
253,6.326784826,,,
254,6.320462610,,,
255,6.335680027,,,
256,6.344537774,,,
257,6.369834492,,,
258,6.448021239,,,
259,6.405094519,,,
260,6.434771552,,,
261,6.409788408,,,
262,6.411446598,,,
263,6.375285073,,,
264,6.388929769,,,
265,6.432421633,,,
266,6.419902832,,,
267,6.425964372,,,
268,6.433546039,,,
269,6.387257848,,,
270,6.503702556,,,
271,6.418575460,,,
272,6.520423012,,,
273,6.465848182,,,
274,6.496437813,,,
275,6.460246492,,,
276,6.378891704,,,
277,6.402317826,,,
278,6.440638476,,,
279,6.394666557,,,
280,6.394842375,,,
281,6.454802618,,,
282,6.418127227,,,
283,6.413958171,,,
284,6.430546433,,,
285,6.425130713,,,
286,6.404341383,,,
287,6.440083061,,,
288,6.457416747,,,
289,6.385705032,,,
290,6.445663704,,,
291,6.424902310,,,
292,6.488087811,,,
293,6.454279840,,,
294,6.419929672,,,
295,6.477303204,,,
296,6.474300024,,,
297,6.452110556,,,
298,6.500834709,,,
299,6.486471840,,,
300,6.401890478,,,
301,6.396549440,,,
302,6.383284157,,,
303,6.492087538,,,
304,6.326145015,,,
305,6.406292183,,,
306,6.425483452,,,
307,6.396641463,,,
308,6.458870511,,,
309,6.434523285,,,
310,6.481056330,,,
311,6.421500744,,,
312,6.592681051,,,
313,6.443615466,,,
314,6.411521823,,,
315,6.484198963,,,
316,6.598084258,,,
317,6.406462179,,,
318,6.463145325,,,
319,6.458813705,,,
320,6.422108834,,,
321,6.517715160,,,
322,6.594131269,,,
323,6.643311276,,,
324,6.392495639,,,
325,6.298483051,,,
326,6.636691645,,,
327,6.516419332,,,
328,6.496814888,,,
329,6.624451275,,,
330,6.431327344,,,
331,6.551127209,,,
332,6.695752655,,,
333,6.422143037,,,
334,6.526592525,,,
335,6.607595296,,,
336,6.405464342,,,
337,6.411197382,,,
338,6.506588757,,,
339,6.301413852,,,
340,6.109915831,,,
341,6.137373033,,,
342,6.136547759,,,
343,6.171854829,,,
344,6.175511388,,,
345,6.200366233,,,
346,6.167341985,,,
347,6.177042923,,,
348,6.153812741,,,
349,6.186744632,,,
350,6.210950874,,,
351,6.202895746,,,
352,6.235412578,,,
353,6.245859810,,,
354,6.217877327,,,
355,6.189583473,,,
356,6.211371820,,,
357,6.224881541,,,
358,6.185157700,,,
359,6.194617797,,,
360,6.132252621,,,
361,6.142443719,,,
362,6.160773340,,,
363,6.176276385,,,
364,6.207587268,,,
365,6.273678357,,,
366,6.236472334,,,
367,6.232495619,,,
368,6.236852419,,,
369,6.247415893,,,
370,6.298095540,,,
371,6.225987012,,,
372,6.275904911,,,
373,6.267517069,,,
374,6.263855492,,,
375,6.244937465,,,
376,6.262441134,,,
377,6.238208202,,,
378,6.226419308,,,
379,6.214929882,,,
380,6.251414480,,,
381,6.232559418,,,
382,6.203287404,,,
383,6.195924482,,,
384,6.134358324,,,
385,6.017781255,,,
386,5.820467222,,,
387,5.717575890,,,
388,5.661110552,,,
389,5.578445865,,,
390,5.411258243,,,
391,5.110428712,,,
392,4.648831607,,,
393,4.056874509,,,
394,3.340573521,,,
395,2.436557254,,,
396,1.468160705,,,
397,0.802277354,,,
398,0.420046886,,,
399,0.227973404,,,
400,0.142803144,,,
401,0.094734753,,,
402,0.059738798,,,
403,0.040802287,,,
404,0.034320240,,,
405,0.031619494,,,
406,0.028408402,,,
407,0.025361784,,,
408,0.023199478,,,
409,0.022453192,,,
410,0.022242111,,,
411,0.023168791,,,
412,0.024375531,,,
413,0.024815031,,,
414,0.022148063,,,
415,0.017515381,,,
416,0.015189715,,,
417,0.014905384,,,
418,0.015171460,,,
419,0.014908058,,,
420,0.015004324,,,
421,0.015069017,,,
422,0.015292324,,,
423,0.013940925,,,
424,0.012750783,,,
425,0.011837261,,,
426,0.012565135,,,
427,0.013616039,,,
428,0.013335367,,,
429,0.011561853,,,
430,0.010627328,,,
431,0.010496825,,,
432,0.010836676,,,
433,0.010997831,,,
434,0.010863004,,,
435,0.011798718,,,
436,0.012853535,,,
437,0.013688834,,,
438,0.013583081,,,
439,0.012168792,,,
440,0.010209477,,,
441,0.009365533,,,
442,0.009520182,,,
443,0.009785792,,,
444,0.009994362,,,
445,0.009042224,,,
446,0.008790492,,,
447,0.008749852,,,
448,0.009163762,,,
449,0.009824359,,,
450,0.009595749,,,
451,0.008864072,,,
452,0.008905770,,,
453,0.009392890,,,
454,0.011214124,,,
455,0.012957915,,,
456,0.013112585,,,
457,0.011516836,,,
458,0.009826664,,,
459,0.008623022,,,
460,0.008487680,,,
461,0.009875404,,,
462,0.011139057,,,
463,0.011980599,,,
464,0.012237221,,,
465,0.012208423,,,
466,0.012132946,,,
467,0.012849030,,,
468,0.013413548,,,
469,0.014034786,,,
470,0.013689552,,,
471,0.013346505,,,
472,0.013322349,,,
473,0.014159852,,,
474,0.015431280,,,
475,0.016292368,,,
476,0.016243350,,,
477,0.014696019,,,
478,0.012787465,,,
479,0.010961504,,,
480,0.011038886,,,
481,0.012398249,,,
482,0.014574122,,,
483,0.015828517,,,
484,0.016395755,,,
485,0.014560930,,,
486,0.012427877,,,
487,0.010731853,,,
488,0.010884782,,,
489,0.012742219,,,
490,0.015795529,,,
491,0.018793051,,,
492,0.020076782,,,
493,0.019194416,,,
494,0.016416882,,,
495,0.013336426,,,
496,0.011321274,,,
497,0.010900241,,,
498,0.011831847,,,
499,0.013308205,,,
500,0.014528895,,,
501,0.014319746,,,
502,0.013428927,,,
503,0.012098568,,,
504,0.011226330,,,
505,0.011249384,,,
506,0.011821087,,,
507,0.012802685,,,
508,0.013393968,,,
509,0.013469289,,,
510,0.013076081,,,
511,0.012125961,,,
512,0.012093116,,,
513,0.012877289,,,
514,0.014194565,,,
515,0.015876079,,,
516,0.016777930,,,
517,0.016208095,,,
518,0.015314771,,,
519,0.013850538,,,
520,0.013469050,,,
521,0.014405058,,,
522,0.017389724,,,
523,0.021503804,,,
524,0.025458990,,,
525,0.028399488,,,
526,0.028853315,,,
527,0.027925464,,,
528,0.025094553,,,
529,0.021511185,,,
530,0.018453212,,,
531,0.016522983,,,
532,0.015635434,,,
533,0.015628943,,,
534,0.016182919,,,
535,0.017647700,,,
536,0.018864920,,,
537,0.020196936,,,
538,0.021531414,,,
539,0.022179271,,,
540,0.022594424,,,
541,0.022021581,,,
542,0.020859178,,,
543,0.020546481,,,
544,0.021945982,,,
545,0.026350176,,,
546,0.033404192,,,
547,0.041611511,,,
548,0.049696938,,,
549,0.054815830,,,
550,0.055361061,,,
551,0.051483712,,,
552,0.046472412,,,
553,0.047103934,,,
554,0.061445027,,,
555,0.098271136,,,
556,0.164716370,,,
557,0.264198372,,,
558,0.394736073,,,
559,0.555360670,,,
560,0.737145939,,,
561,0.930916702,,,
562,1.128643054,,,
563,1.322309590,,,
564,1.507260102,,,
565,1.679892624,,,
566,1.838309903,,,
567,1.984805681,,,
568,2.117161274,,,
569,2.239610883,,,
570,2.350158214,,,
571,2.455874241,,,
572,2.558444215,,,
573,2.659341203,,,
574,2.760097167,,,
575,2.862810921,,,
576,2.967359840,,,
577,3.070059933,,,
578,3.174462072,,,
579,3.275247217,,,
580,3.371392384,,,
581,3.463174347,,,
582,3.549708689,,,
583,3.631715117,,,
584,3.707176635,,,
585,3.772226054,,,
586,3.832328936,,,
587,3.887150671,,,
588,3.937407407,,,
589,3.985938758,,,
590,4.032783009,,,
591,4.079601264,,,
592,4.128852463,,,
593,4.179137848,,,
594,4.233146807,,,
595,4.289907318,,,
596,4.347528899,,,
597,4.403902654,,,
598,4.460178141,,,
599,4.514762484,,,
600,4.567447182,,,
601,4.616257965,,,
602,4.660566864,,,
603,4.702753839,,,
604,4.737761372,,,
605,4.768251138,,,
606,4.798448747,,,
607,4.828794795,,,
608,4.858927788,,,
609,4.887934751,,,
610,4.903934741,,,
611,4.919950080,,,
612,4.935240644,,,
613,4.954978536,,,
614,4.975485843,,,
615,5.001280947,,,
616,5.023454828,,,
617,5.050308411,,,
618,5.073453228,,,
619,5.097243807,,,
620,5.123970202,,,
621,5.143749779,,,
622,5.162026334,,,
623,5.174793610,,,
624,5.191703483,,,
625,5.198999595,,,
626,5.209435391,,,
627,5.210288168,,,
628,5.215181530,,,
629,5.217767125,,,
630,5.222289233,,,
631,5.219443800,,,
632,5.220108960,,,
633,5.223716115,,,
634,5.229100210,,,
635,5.247356358,,,
636,5.264481306,,,
637,5.281204175,,,
638,5.299377029,,,
639,5.323775793,,,
640,5.357412819,,,
641,5.381136497,,,
642,5.402842535,,,
643,5.428126322,,,
644,5.459333437,,,
645,5.490436537,,,
646,5.516327921,,,
647,5.548546161,,,
648,5.582764951,,,
649,5.620494001,,,
650,5.651686105,,,
651,5.681527290,,,
652,5.711968488,,,
653,5.737552786,,,
654,5.748431873,,,
655,5.780871031,,,
656,5.792215425,,,
657,5.815924132,,,
658,5.848501848,,,
659,5.864091588,,,
660,5.905670084,,,
661,5.941283060,,,
662,5.983157791,,,
663,6.017590100,,,
664,6.085422245,,,
665,6.113588625,,,
666,6.178158909,,,
667,6.213626586,,,
668,6.268115927,,,
669,6.298236519,,,
670,6.329830047,,,
671,6.336416422,,,
672,6.367654026,,,
673,6.387930723,,,
674,6.396329206,,,
675,6.371827412,,,
676,6.417646099,,,
677,6.410166680,,,
678,6.423356053,,,
679,6.449681252,,,
680,6.491071948,,,
681,6.538292189,,,
682,6.663132442,,,
683,6.666082725,,,
684,6.767963196,,,
685,6.866645240,,,
686,6.908618475,,,
687,7.003821263,,,
688,7.011213974,,,
689,7.165096696,,,
690,7.115747308,,,
691,7.110501516,,,
692,7.114545407,,,
693,7.331923461,,,
694,7.166243994,,,
695,7.262394985,,,
696,7.201444824,,,
697,7.337446966,,,
698,7.183741162,,,
699,7.205517370,,,
700,7.177410469,,,
701,7.275883804,,,
702,7.527303705,,,
703,7.146913761,,,
704,7.190034708,,,
705,7.200462393,,,
706,7.151214047,,,
707,7.283815756,,,
708,7.170267130,,,
709,7.060628288,,,
710,7.124447186,,,
711,7.361328322,,,
712,7.003948755,,,
713,7.151107140,,,
714,7.058063129,,,
715,7.043441873,,,
716,6.956273716,,,
717,6.931139403,,,
718,6.823240840,,,
719,6.851564903,,,
720,6.827354467,,,
721,6.627417844,,,
722,6.606602726,,,
723,6.542055346,,,
724,6.493838796,,,
725,6.456200529,,,
726,6.370352132,,,
727,6.331727559,,,
728,6.279682072,,,
729,6.263271224,,,
730,6.258216383,,,
731,6.160087817,,,
732,6.136355278,,,
733,6.100432758,,,
734,6.050362769,,,
735,6.021638814,,,
736,5.948769969,,,
737,5.903328466,,,
738,5.826219102,,,
739,5.759775107,,,
740,5.684947506,,,
741,5.583440409,,,
742,5.491557596,,,
743,5.360804666,,,
744,5.255301845,,,
745,5.133998354,,,
746,5.008788055,,,
747,4.891105566,,,
748,4.772076574,,,
749,4.670489754,,,
750,4.603033027,,,
751,4.566580556,,,
752,4.560292308,,,
753,4.576133761,,,
754,4.612882040,,,
755,4.660103758,,,
756,4.721752245,,,
757,4.791177598,,,
758,4.841392888,,,
759,4.906379139,,,
760,4.969493433,,,
761,5.020099427,,,
762,5.072880301,,,
763,5.128113622,,,
764,5.166265104,,,
765,5.215820576,,,
766,5.250351833,,,
767,5.276865948,,,
768,5.300170774,,,
769,5.329907431,,,
770,5.332924371,,,
771,5.338942519,,,
772,5.359690452,,,
773,5.354001247,,,
774,5.344820928,,,
775,5.354938578,,,
776,5.342095566,,,
777,5.332816486,,,
778,5.348072681,,,
779,5.343093627,,,
780,5.361929046,,,
781,5.379526107,,,
782,5.407238228,,,
783,5.443357655,,,
784,5.491316737,,,
785,5.546569284,,,
786,5.588932453,,,
787,5.668054309,,,
788,5.709011560,,,
789,5.752691050,,,
790,5.800699781,,,
791,5.879019202,,,
792,5.916695237,,,
793,5.963526024,,,
794,5.996282880,,,
795,6.025210884,,,
796,6.065591615,,,
797,6.152924742,,,
798,6.217393965,,,
799,6.202652657,,,
800,6.005128016,,,
801,6.059644031,,,
802,6.128597374,,,
803,6.128342262,,,
804,6.224016090,,,
805,6.198644752,,,
806,6.253740004,,,
807,6.298269330,,,
808,6.227334525,,,
809,6.289333867,,,
810,6.251614659,,,
811,6.416624366,,,
812,6.312270138,,,
813,6.327537784,,,
814,6.385523047,,,
815,6.477209800,,,
816,6.495641313,,,
817,6.596598990,,,
818,6.494089546,,,
819,6.533646259,,,
820,6.560998645,,,
821,6.433620474,,,
822,6.548020706,,,
823,6.356904716,,,
824,6.526290100,,,
825,6.488501296,,,
826,6.343510585,,,
827,6.617197530,,,
828,6.437532796,,,
829,6.553485848,,,
830,6.358787719,,,
831,6.419062429,,,
832,6.440387748,,,
833,6.345832307,,,
834,6.378661766,,,
835,6.373938603,,,
836,6.343774311,,,
837,6.419055669,,,
838,6.194301538,,,
839,6.230227299,,,
840,6.285128013,,,
841,6.148218610,,,
842,6.132510384,,,
843,6.080102633,,,
844,6.009367891,,,
845,5.965656515,,,
846,5.874497155,,,
847,5.823914619,,,
848,5.734261584,,,
849,5.671529215,,,
850,5.576335106,,,
851,5.498129770,,,
852,5.385889583,,,
853,5.272099024,,,
854,5.162492073,,,
855,5.057532903,,,
856,4.949222735,,,
857,4.847772584,,,
858,4.757721557,,,
859,4.681059388,,,
860,4.618825991,,,
861,4.565896225,,,
862,4.527052351,,,
863,4.505247994,,,
864,4.497122348,,,
865,4.507310928,,,
866,4.531441471,,,
867,4.569623987,,,
868,4.621015502,,,
869,4.683421244,,,
870,4.749644779,,,
871,4.818785576,,,
872,4.884359102,,,
873,4.944390465,,,
874,4.990170780,,,
875,5.036783658,,,
876,5.063896624,,,
877,5.095620108,,,
878,5.111511669,,,
879,5.123693678,,,
880,5.129087330,,,
881,5.135487857,,,
882,5.127714925,,,
883,5.115479620,,,
884,5.097405970,,,
885,5.080098476,,,
886,5.052654282,,,
887,5.025652094,,,
888,4.997754977,,,
889,4.965747939,,,
890,4.931143933,,,
891,4.896157105,,,
892,4.860959042,,,
893,4.824303644,,,
894,4.791175128,,,
895,4.755259434,,,
896,4.719754500,,,
897,4.690622762,,,
898,4.666532949,,,
899,4.645384218,,,
900,4.631208370,,,
901,4.622740409,,,
902,4.621689087,,,
903,4.630106689,,,
904,4.650956118,,,
905,4.679952116,,,
906,4.723839575,,,
907,4.776047688,,,
908,4.841833390,,,
909,4.918925363,,,
910,5.008086403,,,
911,5.111047932,,,
912,5.216865644,,,
913,5.333795825,,,
914,5.461638865,,,
915,5.575111825,,,
916,5.712674553,,,
917,5.833582950,,,
918,5.969523621,,,
919,6.128632938,,,
920,6.203002288,,,
921,6.395851138,,,
922,6.369551169,,,
923,6.684751322,,,
924,6.625080885,,,
925,6.972944409,,,
926,7.321550974,,,
927,7.005501509,,,
928,8.365429932,,,
929,7.076872488,,,
930,7.374377899,,,
931,6.998764508,,,
932,7.335211443,,,
933,6.911563967,,,
934,7.044677560,,,
935,8.310119731,,,
936,7.118854010,,,
937,7.346398844,,,
938,8.595003251,,,
939,8.184669404,,,
940,8.075851376,,,
941,7.291587364,,,
942,7.479410441,,,
943,8.229191120,,,
944,6.938410186,,,
945,7.230647789,,,
946,7.709409252,,,
947,7.368327859,,,
948,6.998779869,,,
949,7.037521986,,,
950,7.293780017,,,
951,7.801969721,,,
952,7.928788097,,,
953,7.731123061,,,
954,7.894687107,,,
955,8.313813274,,,
956,8.091335314,,,
957,8.241167585,,,
958,7.340198088,,,
959,7.112135328,,,
960,6.811530832,,,
961,7.236581605,,,
962,6.736304060,,,
963,6.700403580,,,
964,6.513296703,,,
965,6.365697175,,,
966,6.245530545,,,
967,6.084356305,,,
968,5.934588782,,,
969,5.788212811,,,
970,5.650802985,,,
971,5.508685316,,,
972,5.422005050,,,
973,5.332313137,,,
974,5.312503368,,,
975,5.315959289,,,
976,5.357675953,,,
977,5.411159039,,,
978,5.493561321,,,
979,5.564673325,,,
980,5.650891148,,,
981,5.725225822,,,
982,5.785613546,,,
983,5.860329875,,,
984,5.930767541,,,
985,5.964403866,,,
986,6.063661682,,,
987,6.091520608,,,
988,6.170371948,,,
989,6.219324157,,,
990,6.256715053,,,
991,6.330603089,,,
992,6.369921210,,,
993,6.456111012,,,
994,6.321820140,,,
995,6.513945618,,,
996,6.566382233,,,
997,6.459294112,,,
998,6.684021577,,,
999,6.635918504,,,
1000,6.481927903,,,
1001,6.616847601,,,
1002,6.460698911,,,
1003,6.553612620,,,
1004,6.571621113,,,
1005,6.668829373,,,
1006,6.514036173,,,
1007,6.378986942,,,
1008,6.460421920,,,
1009,6.424929546,,,
1010,6.389859852,,,
1011,6.358651703,,,
1012,6.307939694,,,
1013,6.249696378,,,
1014,6.115985746,,,
1015,6.139799488,,,
1016,6.068062030,,,
1017,6.032985855,,,
1018,5.970704237,,,
1019,5.890367817,,,
1020,5.843376197,,,
1021,5.775727618,,,
1022,5.717832568,,,
1023,5.665461612,,,
1024,5.586910097,,,
1025,5.543330332,,,
1026,5.497741871,,,
1027,5.458773536,,,
1028,5.425933575,,,
1029,5.384799116,,,
1030,5.370811133,,,
1031,5.353496255,,,
1032,5.330922197,,,
1033,5.331311870,,,
1034,5.304663404,,,
1035,5.296230028,,,
1036,5.277417114,,,
1037,5.260367486,,,
1038,5.254566639,,,
1039,5.242278652,,,
1040,5.219450504,,,
1041,5.205488602,,,
1042,5.183419215,,,
1043,5.167646361,,,
1044,5.148727272,,,
1045,5.123936270,,,
1046,5.097576043,,,
1047,5.071024991,,,
1048,5.043410520,,,
1049,5.019609514,,,
1050,4.991510094,,,
1051,4.963645213,,,
1052,4.933659701,,,
1053,4.908840571,,,
1054,4.881078207,,,
1055,4.856595204,,,
1056,4.829919349,,,
1057,4.803983123,,,
1058,4.779460990,,,
1059,4.759374984,,,
1060,4.739482064,,,
1061,4.717238329,,,
1062,4.700199790,,,
1063,4.684895204,,,
1064,4.670806353,,,
1065,4.657894393,,,
1066,4.646427234,,,
1067,4.636920741,,,
1068,4.630492836,,,
1069,4.623215894,,,
1070,4.619961261,,,
1071,4.618170807,,,
1072,4.616519990,,,
1073,4.616754977,,,
1074,4.616816610,,,
1075,4.618987871,,,
1076,4.623057907,,,
1077,4.626095350,,,
1078,4.630206020,,,
1079,4.632950958,,,
1080,4.635474483,,,
1081,4.642398721,,,
1082,4.644464493,,,
1083,4.647701389,,,
1084,4.650642351,,,
1085,4.652352854,,,
1086,4.654271640,,,
1087,4.653715462,,,
1088,4.656063758,,,
