Baader SLOAN/SDSS i' Filter,,,,
λ (nm),OD,,,
200,7.487106770,,,
201,7.194227451,,,
202,7.241622203,,,
203,6.879764259,,,
204,8.276560961,,,
205,7.531263624,,,
206,7.800282956,,,
207,7.128227732,,,
208,7.404077301,,,
209,7.219001073,,,
210,7.274775118,,,
211,8.276279547,,,
212,7.201318343,,,
213,9.136340856,,,
214,7.815195745,,,
215,7.218622794,,,
216,7.411719686,,,
217,7.304023490,,,
218,7.808656278,,,
219,7.048398218,,,
220,7.700823241,,,
221,7.993168184,,,
222,7.214748777,,,
223,8.009775152,,,
224,7.710965237,,,
225,7.289549190,,,
226,7.701521161,,,
227,8.011597130,,,
228,7.733975361,,,
229,7.467940784,,,
230,7.882905236,,,
231,7.535560220,,,
232,7.802773255,,,
233,7.612283803,,,
234,7.425769136,,,
235,8.079099611,,,
236,7.748982367,,,
237,8.500916115,,,
238,8.156634446,,,
239,8.012722417,,,
240,7.775986745,,,
241,7.550451657,,,
242,7.717380162,,,
243,9.043912681,,,
244,7.750372461,,,
245,7.156609456,,,
246,7.424033116,,,
247,7.550483960,,,
248,7.602354922,,,
249,8.785033866,,,
250,7.965203977,,,
251,7.586109241,,,
252,7.356512509,,,
253,7.353731064,,,
254,7.060155170,,,
255,7.422874289,,,
256,7.988974860,,,
257,7.776446651,,,
258,7.563361131,,,
259,7.185945265,,,
260,7.692548542,,,
261,8.011753801,,,
262,7.602929294,,,
263,7.722785805,,,
264,7.320949331,,,
265,7.971613723,,,
266,7.977598963,,,
267,8.013396638,,,
268,7.224389874,,,
269,7.333042303,,,
270,8.955786596,,,
271,8.461557149,,,
272,7.815919725,,,
273,7.242562300,,,
274,8.301670053,,,
275,7.576523203,,,
276,8.816137895,,,
277,7.068494877,,,
278,7.482231747,,,
279,8.013764031,,,
280,7.408094462,,,
281,7.156826902,,,
282,7.488750699,,,
283,8.235292687,,,
284,7.260548567,,,
285,7.584503680,,,
286,7.862770262,,,
287,9.840750073,,,
288,7.128087582,,,
289,7.802450761,,,
290,8.230022855,,,
291,8.217631788,,,
292,7.172848210,,,
293,7.259104328,,,
294,7.278186070,,,
295,7.518822960,,,
296,7.431592506,,,
297,7.914345468,,,
298,7.589368391,,,
299,9.190251061,,,
300,7.478631332,,,
301,7.465642584,,,
302,8.012443794,,,
303,7.200699751,,,
304,8.016957389,,,
305,7.774266732,,,
306,7.268909336,,,
307,7.201857305,,,
308,7.192463720,,,
309,7.316930226,,,
310,7.298667225,,,
311,8.094985869,,,
312,7.373367195,,,
313,7.260262881,,,
314,7.913272916,,,
315,7.723931215,,,
316,7.884371608,,,
317,7.887888845,,,
318,7.744677094,,,
319,7.815230751,,,
320,8.085366644,,,
321,7.824077122,,,
322,7.025161702,,,
323,9.032247565,,,
324,7.383018611,,,
325,7.115467106,,,
326,7.949355627,,,
327,7.693779546,,,
328,6.968984939,,,
329,7.287256269,,,
330,6.887608689,,,
331,7.429988125,,,
332,7.255297954,,,
333,7.090287483,,,
334,7.557697400,,,
335,7.208798543,,,
336,7.724752387,,,
337,7.122824185,,,
338,7.550666358,,,
339,7.534789815,,,
340,6.469392457,,,
341,6.466944544,,,
342,6.558775227,,,
343,6.460583321,,,
344,6.516096841,,,
345,6.595294119,,,
346,6.593423459,,,
347,6.618397553,,,
348,6.582641563,,,
349,6.558298329,,,
350,6.596118461,,,
351,6.639516742,,,
352,6.658428919,,,
353,6.567744886,,,
354,6.603354173,,,
355,6.529538213,,,
356,6.509200681,,,
357,6.558776972,,,
358,6.612694549,,,
359,6.568752290,,,
360,6.623877696,,,
