Baader SLOAN/SDSS u' Filter,,,,
λ (nm),OD,,,
200,6.671320340,,,
201,6.581121424,,,
202,6.779120633,,,
203,6.528629194,,,
204,6.750701414,,,
205,6.632431395,,,
206,6.969281936,,,
207,6.583300952,,,
208,6.769750749,,,
209,6.694470353,,,
210,6.829852609,,,
211,6.658805994,,,
212,6.661448565,,,
213,6.770620435,,,
214,6.680359008,,,
215,6.903039822,,,
216,6.788219098,,,
217,6.687205395,,,
218,6.755680233,,,
219,6.756666228,,,
220,6.679792807,,,
221,6.713475054,,,
222,6.650590386,,,
223,6.722705168,,,
224,6.690937616,,,
225,6.705931934,,,
226,6.691383060,,,
227,6.656455240,,,
228,6.715307418,,,
229,6.668940971,,,
230,6.671618017,,,
231,6.672456754,,,
232,6.729279525,,,
233,6.697393243,,,
234,6.720049549,,,
235,6.759995095,,,
236,6.743982863,,,
237,6.769763441,,,
238,6.785151400,,,
239,6.717748801,,,
240,6.793573349,,,
241,6.763380277,,,
242,6.824526057,,,
243,6.859543025,,,
244,6.818372715,,,
245,6.830249725,,,
246,6.990010014,,,
247,6.889653260,,,
248,6.778337088,,,
249,7.006414363,,,
250,6.836532354,,,
251,6.833931169,,,
252,6.863312051,,,
253,6.865422821,,,
254,6.957174326,,,
255,6.893511478,,,
256,7.150039795,,,
257,6.872595226,,,
258,6.841744153,,,
259,6.977758152,,,
260,6.964032724,,,
261,6.978975804,,,
262,6.909758477,,,
263,6.880550352,,,
264,6.967214568,,,
265,6.913475887,,,
266,6.880106205,,,
267,6.810810689,,,
268,6.979456144,,,
269,6.961815668,,,
270,6.842407525,,,
271,6.917669846,,,
272,6.849354632,,,
273,6.895038600,,,
274,6.877007303,,,
275,6.910331304,,,
276,6.863211953,,,
277,6.809002689,,,
278,6.880658429,,,
279,6.957136820,,,
280,6.798778865,,,
281,6.818176831,,,
282,6.583661143,,,
283,6.245030506,,,
284,5.686524116,,,
285,4.950200255,,,
286,4.396715167,,,
287,4.045943829,,,
288,3.912683041,,,
289,3.996723668,,,
290,4.264112680,,,
291,4.650400099,,,
292,4.931592233,,,
293,5.062443599,,,
294,5.101061382,,,
295,4.958917903,,,
296,4.745858141,,,
297,4.438383224,,,
298,4.133507939,,,
299,3.544264039,,,
300,3.200759301,,,
301,3.184503668,,,
302,3.534628995,,,
303,4.424587282,,,
304,5.003053758,,,
305,5.378785518,,,
306,5.810771425,,,
307,6.200038700,,,
308,6.461275496,,,
309,6.666838560,,,
310,6.659920016,,,
311,6.665061619,,,
312,6.399706084,,,
313,6.379135077,,,
314,6.115039369,,,
315,5.868595961,,,
316,5.838729819,,,
317,5.547019042,,,
318,5.295208323,,,
319,4.951098252,,,
320,4.492425453,,,
321,3.971063693,,,
322,3.396006843,,,
323,2.638974740,,,
324,1.491941586,,,
325,0.724661832,,,
326,0.332811880,,,
327,0.175234182,,,
328,0.125990889,,,
329,0.111243577,,,
330,0.107116208,,,
331,0.098402571,,,
332,0.084531229,,,
333,0.079241634,,,
334,0.079338078,,,
335,0.077726556,,,
336,0.077665494,,,
337,0.081414327,,,
338,0.087592903,,,
339,0.084812854,,,
340,0.082356944,,,
341,0.082756813,,,
342,0.084424892,,,
343,0.082190637,,,
344,0.084041859,,,
345,0.085649465,,,
346,0.086524166,,,
347,0.087823790,,,
348,0.089535547,,,
349,0.089106039,,,
350,0.087946988,,,
351,0.088312611,,,
352,0.090091489,,,
353,0.093500602,,,
354,0.098604808,,,
355,0.102434610,,,
356,0.104480432,,,
357,0.108662618,,,
358,0.117988957,,,
359,0.122913982,,,
360,0.124303426,,,
361,0.128710881,,,
362,0.137290144,,,
363,0.145974738,,,
364,0.152255247,,,
365,0.159780939,,,
366,0.171608395,,,
367,0.184978834,,,
368,0.196210405,,,
369,0.207850123,,,
370,0.223463692,,,
371,0.242027949,,,
372,0.263470891,,,
373,0.288047231,,,
374,0.319000812,,,
375,0.352802799,,,
376,0.385659334,,,
