Baader SLOAN/SDSS z-s' Filter,,,,
λ (nm),OD,,,
200,6.895223914,,,
201,6.984525136,,,
202,7.172234106,,,
203,7.503698418,,,
204,7.133054790,,,
205,7.160627077,,,
206,7.184301782,,,
207,7.439896519,,,
208,7.540891845,,,
209,7.824202730,,,
210,7.296694287,,,
211,7.713035181,,,
212,7.723107653,,,
213,7.854107301,,,
214,7.727411514,,,
215,7.769325243,,,
216,7.855500824,,,
217,7.714580845,,,
218,8.401344101,,,
219,7.231576184,,,
220,7.618059917,,,
221,8.084289250,,,
222,7.460805847,,,
223,7.728609087,,,
224,7.466582975,,,
225,7.403152577,,,
226,8.324836773,,,
227,7.487660125,,,
228,7.636212681,,,
229,8.449415507,,,
230,7.375128257,,,
231,7.901193814,,,
232,7.849460601,,,
233,8.173179142,,,
234,7.919950468,,,
235,7.862061307,,,
236,8.558522184,,,
237,9.989620232,,,
238,7.588049732,,,
239,8.325091732,,,
240,9.031564086,,,
241,8.143972133,,,
242,7.458032407,,,
243,7.287243756,,,
244,7.866289208,,,
245,7.556546110,,,
246,7.712448327,,,
247,8.375548345,,,
248,8.468320132,,,
249,7.391679556,,,
250,7.915525530,,,
251,9.251801963,,,
252,7.595735118,,,
253,8.351287432,,,
254,8.773222759,,,
255,7.945630507,,,
256,8.573209754,,,
257,7.778607021,,,
258,8.087279448,,,
259,7.794630469,,,
260,7.613691606,,,
261,7.662427667,,,
262,8.038256107,,,
263,7.814974968,,,
264,7.994031306,,,
265,8.446956107,,,
266,8.211012480,,,
267,8.413582838,,,
268,7.674646554,,,
269,7.705294773,,,
270,8.205439282,,,
271,7.968397116,,,
272,8.110052913,,,
273,8.398521427,,,
274,7.415104910,,,
275,8.222971829,,,
276,7.386304501,,,
277,7.729981590,,,
278,7.735154893,,,
279,8.467114348,,,
280,7.929613142,,,
281,7.916449669,,,
282,7.707679051,,,
283,7.966403904,,,
284,7.335083305,,,
285,10.109574378,,,
286,7.740096550,,,
287,7.336085405,,,
288,9.023098280,,,
289,7.575592264,,,
290,7.344578485,,,
291,7.101502051,,,
292,7.575047231,,,
293,7.603672491,,,
294,7.865615975,,,
295,7.649525415,,,
296,7.198649870,,,
297,7.801574624,,,
298,7.971568770,,,
299,7.527643815,,,
300,8.420084167,,,
301,8.095654896,,,
302,7.634225569,,,
303,7.271550081,,,
304,8.064805967,,,
305,7.574120373,,,
306,7.767932356,,,
307,7.348623743,,,
308,7.648947109,,,
309,7.505988173,,,
310,7.535390493,,,
311,9.355880660,,,
312,7.308125000,,,
313,8.370796043,,,
314,7.472494027,,,
315,8.674736827,,,
316,7.224898260,,,
317,7.575467226,,,
318,7.671832920,,,
319,7.666277523,,,
320,8.225112049,,,
321,7.533486540,,,
322,8.004918546,,,
323,6.995189251,,,
324,7.511671337,,,
325,7.329860032,,,
326,7.437348757,,,
327,8.245901980,,,
328,7.470047901,,,
329,7.515631718,,,
330,7.112278734,,,
331,7.242380916,,,
332,7.782752020,,,
333,7.493986314,,,
334,7.620596917,,,
335,7.081449252,,,
336,7.216213192,,,
337,6.966099177,,,
338,7.232468417,,,
339,6.771520201,,,
340,7.865972913,,,
341,7.453700646,,,
342,7.747393535,,,
343,7.613336997,,,
344,7.568980692,,,
345,7.287460618,,,
346,7.622667318,,,
347,7.579456947,,,
348,7.577491900,,,
349,7.902256819,,,
350,7.520915833,,,
351,7.499848741,,,
352,7.557565537,,,
353,7.546110279,,,
354,7.535977246,,,
355,7.484538246,,,
356,6.989858109,,,
357,6.831699181,,,
358,7.027121494,,,
359,7.089789689,,,
360,6.891362331,,,
361,6.817617710,,,
362,6.623106649,,,
363,6.457603181,,,
364,6.508768499,,,
365,6.516162720,,,
366,6.346088228,,,
367,6.300227626,,,
368,6.382955100,,,
369,6.729674783,,,
370,6.974088074,,,
371,7.267678645,,,
372,7.381475823,,,
373,7.145607629,,,
374,6.802919619,,,
375,6.604965598,,,
376,6.643694086,,,
377,6.789711360,,,
378,6.937785572,,,
379,7.194117166,,,
380,8.348498917,,,
381,7.800006198,,,
382,7.829630666,,,
383,7.714532072,,,
384,8.186633324,,,
385,7.507639758,,,
386,7.300428224,,,
387,7.226211199,,,
388,7.438244104,,,
389,7.868373567,,,
390,6.989438368,,,
391,6.697931805,,,
392,6.650813478,,,
393,6.632879117,,,
394,6.553107758,,,
395,6.486780353,,,
396,6.420613006,,,
397,6.384332923,,,
398,6.508483861,,,
399,6.497590043,,,
400,6.044192081,,,
401,5.750209164,,,
402,5.731327442,,,
403,5.991250603,,,
404,6.271803977,,,
405,6.095530153,,,
406,5.546545525,,,
407,5.026592471,,,
408,4.731835754,,,
409,4.676355434,,,
410,4.878463218,,,
411,5.329207329,,,
412,5.852363147,,,
413,6.183463045,,,
414,6.389181545,,,
415,6.588494121,,,
416,6.678898874,,,
417,6.612635909,,,
418,6.120568005,,,
419,5.665344938,,,
420,5.380985649,,,
421,5.270469093,,,
422,5.179699367,,,
423,5.017144272,,,
424,4.861806083,,,
425,4.746338163,,,
426,4.688176199,,,
427,4.726523667,,,
428,4.918847722,,,
429,5.284713817,,,
430,5.748334646,,,
431,6.104365026,,,
432,6.430765640,,,
433,6.611887812,,,
434,6.808284436,,,
435,6.918608618,,,
436,6.903423085,,,
437,6.863424689,,,
438,6.912038787,,,
439,7.022920598,,,
440,6.961273356,,,
441,7.027605692,,,
442,6.964547224,,,
443,6.693187812,,,
444,6.535277383,,,
445,6.295181361,,,
446,5.929227210,,,
447,5.694181600,,,
448,5.636499141,,,
449,5.785401352,,,
450,6.033716084,,,
451,6.283097929,,,
452,6.395934167,,,
453,6.462148610,,,
454,6.445812787,,,
455,6.447441610,,,
456,6.349524385,,,
457,6.240354898,,,
458,6.086112404,,,
459,5.889725440,,,
460,5.617877471,,,
461,5.257431540,,,
462,4.763917600,,,
463,4.245335472,,,
464,4.022405545,,,
465,4.000837552,,,
466,4.002332159,,,
467,4.086529537,,,
468,4.265166809,,,
469,4.515015566,,,
470,4.813312694,,,
471,5.090452245,,,
472,5.318708850,,,
473,5.476642986,,,
474,5.591288084,,,
475,5.659739297,,,
476,5.689071790,,,
477,5.693914473,,,
478,5.659937476,,,
479,5.579763156,,,
480,5.470880349,,,
481,5.311180512,,,
482,5.114556055,,,
483,4.939948373,,,
484,4.844242321,,,
485,4.862995785,,,
486,4.981359058,,,
487,5.145475214,,,
488,5.298754292,,,
489,5.422159416,,,
490,5.509459594,,,
491,5.564722500,,,
492,5.577826080,,,
493,5.554486141,,,
494,5.503073808,,,
495,5.397938566,,,
496,5.243323354,,,
497,5.052747182,,,
498,4.835043476,,,
499,4.608029823,,,
500,4.408063925,,,
501,4.269902666,,,
502,4.219076958,,,
503,4.239515124,,,
504,4.291450949,,,
505,4.318723647,,,
506,4.300852359,,,
507,4.230190969,,,
508,4.128024369,,,
509,4.035583363,,,
510,4.007520845,,,
511,4.073319925,,,
512,4.224597666,,,
513,4.424066118,,,
514,4.613022471,,,
515,4.764913445,,,
516,4.867596388,,,
517,4.925998891,,,
518,4.949932060,,,
519,4.943617077,,,
520,4.924065957,,,
521,4.883766947,,,
522,4.825872042,,,
523,4.750139188,,,
524,4.659027138,,,
525,4.565728268,,,
526,4.486542465,,,
527,4.451611823,,,
528,4.469964391,,,
529,4.545862321,,,
530,4.654556546,,,
531,4.771357564,,,
532,4.882121898,,,
533,4.977307879,,,
534,5.058757862,,,
535,5.122604796,,,
536,5.170914871,,,
537,5.194919971,,,
538,5.199237058,,,
539,5.179101627,,,
540,5.146112398,,,
541,5.093293975,,,
542,5.035644246,,,
543,4.962912920,,,
544,4.882460684,,,
545,4.799858732,,,
546,4.702929828,,,
547,4.610220584,,,
548,4.524207867,,,
549,4.449905965,,,
550,4.398291006,,,
551,4.372725381,,,
552,4.368763146,,,
553,4.380014740,,,
554,4.401015253,,,
555,4.425397900,,,
556,4.447889709,,,
557,4.459979188,,,
558,4.462836907,,,
559,4.458766324,,,
560,4.447596985,,,
561,4.430358408,,,
562,4.406377380,,,
563,4.382302038,,,
564,4.357315944,,,
565,4.339339282,,,
566,4.324936187,,,
567,4.321454657,,,
568,4.326647701,,,
569,4.341381152,,,
570,4.362647850,,,
571,4.388023312,,,
572,4.416641468,,,
573,4.447930777,,,
