Wavelength (nm),Transmission
660,0.008098975755
659.9799805,0
659.960022,0.006689516827
659.9400024,0
659.9199829,0
659.9000244,0
659.8800049,0.01926222257
659.8599854,0.0349641107
659.8400269,0.0003210932191
659.8200073,0
659.7999878,0
659.7800293,0
659.7600098,0.02168500237
659.7399902,0.01681630127
659.7199707,0.009835124016
659.7000122,0
659.6799927,0
659.6599731,0.01215785183
659.6400146,0
659.6199951,0.03246032819
659.5999756,0.03666525707
659.5800171,0
659.5599976,0
659.539978,0
659.5200195,0
659.5,0.003247831482
659.4799805,0.02211404592
659.460022,0.01177607756
659.4400024,0
659.4199829,0
659.4000244,0
659.3800049,0.04054747149
659.3599854,0.03052503802
659.3400269,0.02448938414
659.3200073,0.004347417969
659.2999878,0
659.2800293,0
659.2600098,0
659.2399902,0.03462257609
659.2199707,0.01718718931
659.2000122,0.0000729841704
659.1799927,0
659.1599731,0
659.1400146,0
659.1199951,0.03713561967
659.0999756,0.03659545258
659.0800171,0.02582779527
659.0599976,0
659.039978,0
659.0200195,0.01192567684
659,0.009975219145
658.9799805,0.006848564837
658.960022,0.01673854515
658.9400024,0
658.9199829,0
658.9000244,0
658.8800049,0.02600012533
658.8599854,0.0337751843
658.8400269,0
658.8200073,0.01024186518
658.7999878,0.003206194844
658.7800293,0
658.7600098,0.001757677412
658.7399902,0.01694064215
658.7199707,0.06195869669
658.7000122,0
658.6799927,0.009097008966
658.6599731,0
658.6400146,0
658.6199951,0.03745328262
658.5999756,0.04505619034
658.5800171,0.01197051257
658.5599976,0.01597834378
658.539978,0
658.5200195,0
658.5,0.004579423927
658.4799805,0.05483658612
658.460022,0.0159744136
658.4400024,0
658.4199829,0
658.4000244,0.0001218649122
658.3800049,0
658.3599854,0.001228672802
658.3400269,0.03174953163
658.3200073,0.04555394128
658.2999878,0
658.2800293,0.001617876813
658.2600098,0
658.2399902,0.05731836334
658.2199707,0.03171849996
658.2000122,0.01785295084
658.1799927,0
658.1599731,0
