Wavelength (µm),Bulk Absorption,Dichroics,Field Lens,Collimator,Camera,Total
0.355,0.000000,0.0000,0.0000,0.000000000000,0.000000000000000,0.000000000000000
0.360,0.946951,0.9604,0.9604,0.941480149401,0.951110130465772,0.782120708146276
0.366,0.963653,0.9604,0.9604,0.941480149401,0.951110130465772,0.795915487461636
0.373,0.975017,0.9604,0.9604,0.941480149401,0.951110130465772,0.805301421609627
0.379,0.979273,0.9604,0.9604,0.941480149401,0.951110130465772,0.80881660426836
0.386,0.983548,0.9604,0.9604,0.941480149401,0.951110130465772,0.812347479706821
0.392,0.986495,0.9604,0.9604,0.941480149401,0.951110130465772,0.814781512435977
0.398,0.986494,0.9604,0.9604,0.941480149401,0.951110130465772,0.814780686500202
0.405,0.986492,0.9604,0.9604,0.941480149401,0.951110130465772,0.814779034628651
0.411,0.98649,0.9604,0.9604,0.941480149401,0.951110130465772,0.814777382757101
0.418,0.986489,0.9604,0.9604,0.941480149401,0.951110130465772,0.814776556821326
0.424,0.986487,0.9604,0.9604,0.941480149401,0.951110130465772,0.814774904949776
0.430,0.986486,0.9604,0.9604,0.941480149401,0.951110130465772,0.814774079014001
0.437,0.986485,0.9604,0.9604,0.941480149401,0.951110130465772,0.814773253078226
0.443,0.986483,0.9604,0.9604,0.941480149401,0.951110130465772,0.814771601206676
0.450,0.986482,0.9604,0.9604,0.941480149401,0.951110130465772,0.814770775270901
0.456,0.986481,0.9604,0.9604,0.941480149401,0.951110130465772,0.814769949335125
0.462,0.987287,0.9604,0.9604,0.941480149401,0.951110130465772,0.815435653569839
0.469,0.98944,0.9604,0.9604,0.941480149401,0.951110130465772,0.817213893293583
0.475,0.991598,0.9604,0.9604,0.941480149401,0.951110130465772,0.818996262696202
0.482,0.993219,0.9604,0.9604,0.941480149401,0.951110130465772,0.820335104587604
0.488,0.993218,0.9604,0.9604,0.941480149401,0.951110130465772,0.820334278651829
0.494,0.993218,0.9604,0.9604,0.941480149401,0.951110130465772,0.820334278651829
0.501,0.993109,0.9604,0.9604,0.941480149401,0.951110130465772,0.820244251652345
0.507,0.992243,0.9604,0.9604,0.941480149401,0.951110130465772,0.819528991271127
0.514,0.991378,0.9604,0.9604,0.941480149401,0.951110130465772,0.818814556825684
0.520,0.990514,0.9604,0.9604,0.941480149401,0.951110130465772,0.818100948316017
0.526,0.98965,0.9604,0.9604,0.941480149401,0.951110130465772,0.817387339806349
0.533,0.988786,0.9604,0.9604,0.941480149401,0.951110130465772,0.816673731296681
0.539,0.987923,0.9604,0.9604,0.941480149401,0.951110130465772,0.815960948722789
0.546,0.987061,0.9604,0.9604,0.941480149401,0.951110130465772,0.815248992084671
0.552,0.986737,0.9604,0.9604,0.941480149401,0.951110130465772,0.814981388893546
0.558,0.987598,0.9604,0.9604,0.941480149401,0.951110130465772,0.815692519595888
0.565,0.98846,0.9604,0.9604,0.941480149401,0.951110130465772,0.816404476234006
0.571,0.989322,0.9604,0.9604,0.941480149401,0.951110130465772,0.817116432872123
0.578,0.990185,0.9604,0.9604,0.941480149401,0.951110130465772,0.817829215446016
